用户ID,服务ID,时间,行为,内容,转推,喜欢,回复,URL
Nick Craver,Twitter,下午1:43 - 2016年8月13日,喜欢,Blue Apron 的 Twitter: “@Nick_Craver Glad to lend a helping hand...err...box! Good luck with the move. :-)”,0,2,2,https://twitter.com/blueapron/status/764562991811559424
Nick Craver,Twitter,下午4:45 - 2016年8月2日,喜欢,ERSATZ DEVLOPER 的 Twitter: “HOLY CRAP ON A GOOD GRIEF CRACKER! is one of the choicer phrases to come out of the markov chain I&#39;m raising.”,0,6,3,https://twitter.com/jasonpunyon/status/760622596001980416
Nick Craver,Twitter,下午1:29 - 2016年7月2日,喜欢,Scott Hanselman 的 Twitter: “@paulcbetts @codinghorror @Nick_Craver I&#39;m saying 6 year old Crucial to 850 Pro is bananas. It&#39;s like getting an SSD ;)”,0,8,8,https://twitter.com/shanselman/status/749339150088679424
Nick Craver,Twitter,下午1:58 - 2016年8月22日,喜欢,Geoff Dalgas 的 Twitter: “I&#39;d like to thank my daughter for getting this snow cone machine for me for her birthday. https://t.co/FsHsz5eVND”,0,14,14,https://twitter.com/superdalgas/status/767828437473964033
Nick Craver,Twitter,下午6:10 - 2016年9月6日,喜欢,Adam Lear 的 Twitter: “@Nick_Craver @jc4p @thefarseeker 13/10 studly af. get it right.”,0,2,2,https://twitter.com/aalear/status/773327664912470020
Nick Craver,Twitter,下午5:09 - 2016年8月11日,喜欢,Scott Hanselman 的 Twitter: “Heard the word prebuttal today.”,0,31,10,https://twitter.com/shanselman/status/763890099784290305
Nick Craver,Twitter,上午3:41 - 2016年8月2日,喜欢,Kristøf Claes 的 Twitter: “@Nick_Craver We also need people thinking What if he ever says something like that? about their sons.”,0,7,3,https://twitter.com/kristofclaes/status/760425190685863936
Nick Craver,Twitter,上午8:05 - 2016年7月2日,喜欢,Jay Hanlon 的 Twitter: “Woke up to stool moved from bathroom &amp; 3YO on wrong side of the gate. Pretty sure we&#39;re supposed to close the park. https://t.co/ZCQ5P0zaWn”,0,13,13,https://twitter.com/jayhanlon/status/749257688069054465
Nick Craver,Twitter,下午7:16 - 2016年8月21日,喜欢,David Fowler 的 Twitter: “Rebuilt @ben_a_adams RIO server on top of channels. #dotnet #aspnetcore”,0,23,4,https://twitter.com/davidfowl/status/767545994649047041
Nick Craver,Twitter,上午4:48 - 2016年9月6日,喜欢,Mr Fluent Assertions 的 Twitter: “@onovotny diskpart-&gt;list disk-&gt;select disk x-&gt; clean ;-)”,0,1,1,https://twitter.com/ddoomen/status/773125717336920064
