用户ID,服务ID,时间,行为,内容
Paul,Youtube,"Uploaded on Jan 4, 2012",like,Big Poppa  &quot;Cover&quot;  NOTORIOUS B.I.G.....
Paul,Youtube,"Uploaded on Apr 2, 2011",like,Billy querendo ver a Isabelle
Paul,Youtube,"Uploaded on Feb 18, 2011",like,The King of Keyboard Cat
Paul,Youtube,"Uploaded on Sep 9, 2010",like,Being a Dickhead&#39;s Cool
Paul,Youtube,"Published on Aug 14, 2012",like,NEED YOUR HEART | DUBSTEP
Paul,Youtube,"Published on Dec 15, 2011",like,Adele - Rolling In The Deep (Cover)
Paul,Youtube,"Uploaded on May 24, 2006",like,Bobby Conn- Never get Ahead
Paul,Youtube,"Uploaded on Feb 19, 2011",like,Thom Yorke Whips His Hair
Paul,Youtube,"Uploaded on Apr 16, 2006",like,Bush Doesn&#39;t Care About Black People
Paul,Youtube,"Uploaded on Jan 22, 2011",like,Cat Daddy at is BEST
Paul,Youtube,"Uploaded on Jan 21, 2012",like,No Mercy - &quot;Where Do You Go?&quot; - Top Of The Pops 1997
Paul,Youtube,"Uploaded on Sep 23, 2011",like,PUMPED UP KICKS|DUBSTEP
Paul,Youtube,"Uploaded on Nov 30, 2009",like,Grand Theft Mario (Grand Theft Auto IV Machinima)
Paul,Youtube,"Uploaded on Feb 18, 2011",like,Thom gets down to &quot;Single Ladies&quot; (LOTUS FLOWER DUB)
Paul,Youtube,"Uploaded on Jan 29, 2010",like,Captain Picard unveils the iPad
Paul,Youtube,"Uploaded on Apr 27, 2009",like,【Poppin&#39;】Gucchon (Co-Thkoo) 20090426 Solo Style Lecture in Taiwan
Paul,Youtube,"Uploaded on Feb 18, 2011",like,Thom Yorke Dances Alone To Pony
Paul,Youtube,"Uploaded on Aug 28, 2007",like,The Mitchell Brothers - Michael Jackson --
Paul,Youtube,"Published on Aug 19, 2012",like,Typewriter landscape
Paul,Youtube,"Uploaded on Aug 24, 2007",like,"Tracy Morgan appears on WGN in an, um, intereresting state"
Paul,Youtube,"Uploaded on Oct 20, 2009",like,How to Shoot an Anvil 200 Feet in the Air
Paul,Youtube,"Published on Aug 11, 2012",like,JJ DOOM &#39;WINTER BLUES&#39; live on BBC Radio 4
Paul,Youtube,"Uploaded on Jan 7, 2012",like,"NeXT, OpenStep and the return of Steve Jobs to Apple"
Paul,Youtube,"Uploaded on Mar 1, 2007",like,Is Tracy Morgan Wasted on Live TV
Paul,Youtube,"Uploaded on Mar 24, 2011",like,DC Metro (Yonathan Elias)
Paul,Youtube,"Uploaded on Dec 30, 2011",like,Bane Eats A Hotdog
Paul,Youtube,"Uploaded on Jul 15, 2008",like,Roots Manuva - Again &amp; Again
Paul,Youtube,"Uploaded on Apr 6, 2011",like,FC Baar - FC Sempach: Joonas Jokinen (35) shoots penalty
Paul,Youtube,"Uploaded on Nov 16, 2010",like,Happy wake up
Paul,Youtube,"Uploaded on Jun 24, 2006",like,Darth Vader being a jerk
Paul,Youtube,"Uploaded on Jul 22, 2008",like,Best Batman Reaction Ever
Paul,Youtube,"Uploaded on Apr 2, 2011",like,2x4 through my windshield...
Paul,Youtube,"Uploaded on May 27, 2009",like,Old Gregg vs. Lady GaGa: Love Games
Paul,Youtube,"Uploaded on Jan 21, 2009",like,1966 prediction of the home computer
Paul,Youtube,"Uploaded on Oct 16, 2010",like,Cat vs Printer - The Translation
Paul,Youtube,"Uploaded on Mar 25, 2011",like,EXCLUSIVE INTERVIEW WITH ARK MUSIC FACTORY. FOUNDER AND PRESIDENT: PATRICE WILSON
Paul,Youtube,"Uploaded on May 30, 2011",like,COMPUTEX: Asus unveils Padfone smartphone-tablet combo
Paul,Youtube,"Uploaded on Jan 31, 2007",like,Worst Fight Scene Ever
Paul,Youtube,"Uploaded on Apr 28, 2011",like,It&#39;s okay to not like things
Paul,Youtube,"Uploaded on Mar 16, 2011",like,Old Gregg Beatbox Remix
Paul,Youtube,"Uploaded on May 6, 2010",like,M.I.A. - Space (David Starfire Remix)
Paul,Youtube,"Uploaded on Dec 17, 2010",like,Singing Sewermen - Thames Water
Paul,Youtube,"Uploaded on Feb 20, 2011",like,Radiohead - Lotus Flower - Deleted Scenes
Paul,Youtube,"Uploaded on Apr 13, 2009",like,Birdhouse: A notepad for Twitter
Paul,Youtube,"Uploaded on Dec 13, 2010",like,Yogi Bear Parody: &quot;Booboo Kills Yogi&quot; ending
Paul,Youtube,"Uploaded on Feb 18, 2011",like,Radiohead Lotus Flower  (Thom Yorke vs Napoleon Dynamite)
Paul,Youtube,"Published on Jul 14, 2012",like,Raphael Attar - &#39;Gary Barlow&#39;
Paul,Youtube,"Uploaded on Apr 10, 2010",like,The Shining Elevator of Blood recreated with RealFlow 4 &amp; Lightwave 9.6
Paul,Youtube,"Uploaded on Feb 19, 2007",like,KEN KORDA MEETS PAT SHARP
Paul,Youtube,"Uploaded on Feb 28, 2009",like,Gallery - Hartbeat
Paul,Youtube,"Uploaded on Oct 21, 2009",like,Epic and Honest Mobile Home Commercial
Paul,Youtube,"Uploaded on Jan 28, 2007",like,Dancing Chameleon Getting Rhythm!! Johnny Cash (Joaquin Phoenix style)
Paul,Youtube,"Uploaded on Jun 10, 2007",like,Welcome to my Study
Paul,Youtube,"Uploaded on Feb 19, 2008",like,Pom antics Comets Lavendar nosed Girl
Paul,Youtube,"Uploaded on Jan 24, 2010",like,Baby Kangaroo swimming at the Beach
Paul,Youtube,"Uploaded on Oct 24, 2008",like,Wassup 2008
Paul,Youtube,"Uploaded on Oct 20, 2009",like,How We Sell Trailers- Making the Cullman Liq Commercial
Paul,Youtube,"Uploaded on Jun 5, 2008",like,Another Prairie Dog Bites the dust
Paul,Youtube,"Uploaded on Apr 25, 2007",like,Pit Bull &amp; Chicks - HAPPY  EASTER !!! ;) The Great American Pit Bull Terrier SHARKY. HelensPets.com
Paul,Youtube,"Uploaded on Feb 21, 2008",like,Ferret steals mic cover
Paul,Youtube,"Uploaded on Jul 31, 2009",like,Yeah Yeah Yeahs Maps Live @ All Points West 7/31/09
Paul,Youtube,"Uploaded on Dec 23, 2007",like,I&#39;m Old Gregg! (Sparta Remix)
Paul,Youtube,"Uploaded on Oct 3, 2008",like,Take On Me: Literal Video Version
Paul,Youtube,"Uploaded on Dec 21, 2009",like,FINISH HIM!!!!!!!
Paul,Youtube,"Uploaded on Dec 6, 2007",like,The End of the World
Paul,Youtube,"Published on Aug 10, 2008",like,The Dark Knight Trailer Recut - Toy Story 2
Paul,Youtube,"Uploaded on Jun 27, 2008",like,Contact - Inappropriate Soundtracks - SA
Paul,Youtube,"Uploaded on Mar 12, 2008",like,Me singing &#39;Rehab&#39; by Amy Winehouse
Paul,Youtube,"Uploaded on Aug 12, 2009",like,"Respect [cover, &quot;Shake Your Soul&quot;]"
Paul,Youtube,"Uploaded on Aug 25, 2006",like,Clockwork orange
Paul,Youtube,"Uploaded on Nov 30, 2009",like,Grooming Sequoia - adorable Persian kitten - 11.30.09
Paul,Youtube,"Uploaded on Sep 16, 2008",like,Doctor Who: What are you doing here?
Paul,Youtube,"Uploaded on Jun 18, 2007",like,Joel Plaskett Emergency - Fashionable People
Paul,Youtube,"Uploaded on Sep 15, 2006",like,Monsters Inc ruined scene
Paul,Youtube,"Uploaded on Jun 10, 2009",like,Library for iPhone
Paul,Youtube,"Uploaded on Oct 13, 2009",like,Surprised Kitty (Original)
Paul,Youtube,"Uploaded on Aug 25, 2006",like,Terminator 2 Ruined Scene
Paul,Youtube,"Uploaded on Aug 25, 2008",like,Cats battle for chair
Paul,Youtube,"Uploaded on Nov 17, 2009",like,Thorium Remix 2009 - LFTR in 16 Minutes
Paul,Youtube,"Uploaded on Mar 29, 2007",like,7 Seven Minute Sopranos - a &quot;whacked out&quot; refresher
Paul,Youtube,"Uploaded on Jul 13, 2008",like,Star Wars Alpacas
Paul,Youtube,"Uploaded on May 26, 2007",like,Road Trip USA
Paul,Youtube,"Uploaded on Jan 30, 2008",like,I&#39;m Old Greg (I like Turtles)
Paul,Youtube,"Uploaded on May 30, 2006",like,kubbur a hlaupum
Paul,Youtube,"Uploaded on Aug 12, 2008",like,Extreme Toothbrushing
Paul,Youtube,"Uploaded on Sep 12, 2008",like,Escape de Sofía
Paul,Youtube,"Uploaded on Sep 20, 2008",like,im old greg!!!
